File Name,Generated Caption
image.0.jpg,a black and white bird is standing in the air
image.1.jpg,a man with a red hat is standing in front of a large building
image.10.jpg,a man is standing in a large white and white and white bird
image.100.jpg,a man and a woman are playing with a toy
image.1000.jpg,a person is riding a dirt path in a wooded area
image.10000.jpg,a group of people are sitting on a red truck
image.10002.jpg,a man in a blue shirt is playing basketball
image.10003.jpg,a girl in a pink dress is standing in front of a tree
image.10004.jpg,a man is sitting on a table with a large black and white and white and white dog
image.10005.jpg,a man and a woman are sitting on a bus
image.10006.jpg,a man and a woman are sitting on a bed
image.10007.jpg,a child is standing in a field of a tree
image.10008.jpg,a man is sitting on a table with a red and white dog
image.10009.jpg,a dog is running through a field of leaves
image.1001.jpg,a bird is standing in the water
image.10010.jpg,a man in a red shirt is standing in front of a large tree
image.10011.jpg,a man in a red jacket is standing in the snow
image.10012.jpg,a bird flies through the water
image.10013.jpg,a horse wearing a blue shirt is riding a horse
image.10016.jpg,a man and a woman are sitting on a bed
image.10017.jpg,a man with a white shirt is sitting on a couch
image.10018.jpg,a girl in a red shirt is standing in a large tree
image.10019.jpg,a man is standing in front of a building
image.1002.jpg,a man in a black shirt is sitting on a bench
image.10021.jpg,a man and a woman are standing in a field of a large tree
image.10022.jpg,a woman in a red jacket is standing in front of a large tree
image.10023.jpg,a man in a blue shirt is sitting on a bench
image.10024.jpg,a little girl is standing in a field of a tree
image.10025.jpg,a man and a woman are sitting on a bed
image.10026.jpg,a man in a red shirt and a white shirt is jumping into a crowd
image.10027.jpg,a small boy is standing in a tree
image.10029.jpg,a small black and white dog is swimming in the water
image.1003.jpg,a person in a yellow shirt is walking through a grassy field
image.10030.jpg,a boat is standing on the water
image.10031.jpg,a child is playing with a bubble
image.10032.jpg,a man in a red shirt is standing in front of a building
image.10033.jpg,a man in a white shirt is standing on a bench with a man in a blue shirt
image.10034.jpg,a little girl in a red shirt is sitting on a bed
image.10035.jpg,a person in a red shirt is walking through a forest
image.10036.jpg,a group of people are standing in front of a crowd
image.1004.jpg,a group of people are standing in a line of a building
image.10041.jpg,a man in a blue shirt and a blue shirt is running on a street
image.10042.jpg,a man and a woman are standing in front of a building
image.10043.jpg,a man is climbing a rock wall
image.10044.jpg,a man is jumping into the ocean
image.10045.jpg,a man in a blue shirt is standing in front of a large building
image.1005.jpg,a large white and white dog is swimming in the water
image.10051.jpg,a small boy is sitting on a dirt road
image.10052.jpg,a dog is standing in a tree
image.10053.jpg,a dog is running through a field
image.10054.jpg,a woman in a pink shirt is standing in front of a tree
image.10055.jpg,a person in a red shirt is standing in a tree
image.10056.jpg,a person with a blue shirt is standing in front of a large white and white and white dog
image.10057.jpg,a white dog is standing in the water
image.10058.jpg,a man and a woman are sitting on a bed
image.10059.jpg,a man is standing on a bed with a white and white shirt
image.1006.jpg,a man with a white hat and a white hat is standing on a bench
image.10060.jpg,a man in a red shirt is playing in a red balloon
image.10061.jpg,a man in a red shirt is holding a camera
image.10062.jpg,a girl in a red shirt is standing in front of a tree
image.10064.jpg,a black and white dog is standing in the water
image.10065.jpg,a man in a blue jacket is standing in front of a brick wall
image.10067.jpg,a man is standing in a field of a large tent
image.10068.jpg,a white and white dog is standing on a bed
image.10069.jpg,a group of people are standing on a bench with a crowd of people
image.1007.jpg,a little girl is sitting on a bed
image.10070.jpg,a woman in a red shirt is standing in front of a store
image.10071.jpg,a small bird is standing in a green and white and white and white
image.10072.jpg,a man in a white shirt is playing a guitar
image.10073.jpg,a man with a red shirt is sitting on a bench
image.10074.jpg,a dog is standing in the snow
image.10075.jpg,a man and a woman are standing in a kitchen
image.10076.jpg,a man is sitting on a bench with a man in a white shirt
image.10077.jpg,a young boy is standing in a field of a tree
image.10078.jpg,a group of people are walking down a road
image.10079.jpg,a man is standing in a swimming pool
image.1008.jpg,a man and a woman are sitting on a table with a table
image.10080.jpg,a man in a red shirt is standing in front of a building
image.10081.jpg,a black and white dog is flying through the water
image.10082.jpg,a man in a red shirt is standing in front of a building
image.10083.jpg,a man in a blue shirt is standing on a sidewalk with a blue shirt
